recherchieren    |исследовать                  |recherchiert       |recherchierte      |hat recherchiert
aufstehen        |вставать                     |steht auf          |stand auf          |ist aufgestanden
ausgeben         |тратить                      |gibt aus           |gab aus            |hat ausgegeben
ausgehen         |выходить                     |geht aus           |ging aus           |ist ausgegangen
aussehen         |выглядеть                    |sieht aus          |sah aus            |hat ausgesehen
aussteigen       |высаживаться                 |steigt aus         |stieg aus          |ist ausgestiegen
ausziehen        |раздевать                    |zieht aus          |zog aus            |ist/hat ausgezogen
backen           |выпекать                     |bäckt/backt        |buk/backte         |hat gebacken
beginnen         |начать                       |beginnt            |begann             |hat begonnen
behalten         |держать                      |behält             |behielt            |hat behalten
bekommen         |получать                     |bekommt            |bekam              |hat bekommen
bewerben         |подать заявление             |bewirbt            |bewarb             |hat beworben
biegen           |сгибать                      |biegt              |bog                |hat gebogen
bieten           |представлять                 |bietet             |bot                |hat geboten
bitten           |просить                      |bittet             |bat                |hat gebeten
bleiben          |оставаться                   |bleibt             |blieb              |ist geblieben
braten           |жарить                       |brät               |briet              |hat gebraten
brechen          |сломать                      |bricht             |brach              |ist gebrochen
brennen          |сжигать                      |brennt             |brannte            |hat gebrannt
bringen          |приносить                    |bringt             |brachte            |hat gebracht
denken           |думать                       |denkt              |dachte             |hat gedacht
einfallen        |придумать                    |fällt ein          |fiel ein           |ist eingefallen
einladen         |пригласить                   |lädt ein           |lud ein            |hat eingeladen
einschlafen      |засыпать                     |schläft ein        |schlief ein        |ist eingeschlafen
einsteigen       |садиться                     |steigt ein         |stieg ein          |ist eingestiegen
einziehen        |входить                      |zieht ein          |zog                |ist eingezogen
empfehlen        |рекомендовать                |empfiehlt          |ein empfahl        |hat empfohlen
entscheiden      |решать                       |entscheidet        |entschied          |hat entschieden
essen            |есть                         |isst               |aß                 |hat gegessen
fahren           |управлять автомобилем        |fahrt              |fuhr               |ist gefahren
fallen           |падать                       |fällt              |fiel               |ist gefallen
fangen           |ловить                       |fängt              |fing               |hat gefangen
fernsehen        |смотреть телевизор           |sieht fern         |sah fem            |hat ferngesehen
finden           |найти                        |findet             |fand               |hat gefunden
fliegen          |летать                       |fliegt             |flog               |ist geflogen
geben            |давать                       |gibt               |gab                |hat gegeben
gefallen         |нравиться                    |gefalt             |gefiel             |hat gefallen
gehen            |идти                         |geht               |ging               |ist gegangen
geschehen        |происходить                  |geschieht          |geschah            |ist geschehen
gewinnen         |выиграть                     |gewinnt            |gewann             |hat gewonnen
haben            |иметь                        |hat                |hatte              |hat gehabt
halten           |держать                      |halt               |hielt              |hat gehalten
hängen           |висеть                       |hangt              |hing               |hat gehängt/gehangen
heißen           |называться                   |heiß               |hieß               |hat geheißen
helfen           |помогать                     |hilft              |half               |hat geholfen
kennen           |знать                        |kennt              |kannte             |hat gekannt
klingen          |звучать                      |klingt             |klang              |hat geklungen
kommen           |приходить                    |kommt              |kam                |ist gekommen
laden            |нагружать                    |lädt               |lud                |hat geladen
lassen           |оставлять                    |lässt              |ließ               |hat gelassen
laufen           |бежать                       |läuft              |lief               |ist gelaufen
eislaufen        |катание на коньках           |läuft eis          |lief eis           |ist eisgelaufen
leidtun          |сожалеть                     |tut leid           |tat leid           |hat leidgetan
leihen           |одолжить                     |leiht              |lieh               |hat geliehen
lesen            |читать                       |liest              |las                |hat gelesen
liegen           |лежать                       |liegt              |lag                |hat gelegen
losfahren        |отправляться                 |fährt los          |fuhr los           |ist losgefahren
mitbringen       |принести с собой             |bringt mit         |brachte mit        |hat mitgebracht
mitkommen        |идти вместе                  |kommt mit          |kam mit            |ist mitgekommen
mitnehmen        |забрать с собой              |nimmt mit          |nahm mit           |hat mitgenommen
mögen            |нравиться                    |mag                |mochte             |hat gemocht
nehmen           |брать                        |nimmt              |nahm               |hat genommen
nennen           |называть                     |nennt              |nannte             |hat genannt
raten            |предполагать                 |rät                |riet               |hat geraten
riechen          |обонять                      |riecht             |roch               |hat gerochen
rufen            |звать                        |ruft               |rief               |hat gerufen
scheinen         |казаться                     |scheint            |schien             |hat geschienen
schlafen         |спать                        |schläft            |schlief            |hat geschlafen
schlagen         |бить/ударять                 |schlagt            |schlug             |hat geschlagen
schließen        |закрывать/запирать           |schließt           |schloss            |hat geschlossen
schneiden        |резать/пилить                |schneidet          |schnitt            |hat geschnitten
schreiben        |писать                       |schreibt           |schrieb            |hat geschrieben
schwimmen        |плавать                      |schwimmt           |schwamm            |ist geschwommen
sehen            |видеть                       |sieht              |sah                |hat gesehen
sein             |быть                         |ist                |war                |ist gewesen
singen           |петь                         |singt              |sang               |hat gesungen
sinken           |опуститься                   |sinkt              |sank               |ist gesunken
sitzen           |сидеть                       |sitzt              |saß                |hat ist gesessen
spazieren gehen  |идти гулять                  |geht spazieren     |ging spazieren     |ist spazieren gegangen
sprechen         |разговаривать                |spricht            |sprach             |hat gesprochen
springen         |прыгать                      |springt            |sprang             |ist gesprungen
stattfinden      |иметь место                  |findet statt       |fand statt         |hat stattgefunden
stehen           |стоять                       |steht              |stand              |hat/ist gestanden
stehlen          |красть/воровать              |stiehlt            |stahl              |hat gestohlen
steigen          |подниматься                  |steigt             |stieg              |ist gestiegen
sterben          |умирать                      |stribt             |starb              |ist gestorben
streiten         |ссориться                    |streitet           |stritt             |hat gestritten
teilnehmen       |участвовать                  |nimmt teil         |nahm teil          |hat telgenommen
tragen           |носить                       |trägt              |trug               |hat getragen
treiben          |гнать/гонять                 |treibt             |trieb              |hat getrieben
treffen          |встречаться                  |trifft             |traf               |hat getroffen
treten           |вступить                     |tritt              |trat               |hat getreten
trinken          |пить                         |trinkt             |trank              |hat getrunken
tun              |делать                       |tut                |tat                |hat getan
übertragen       |передавать                   |überträgt          |übertrug           |hat übertragen
überweisen       |переводить                   |überweist          |uberwies           |hat überwiesen
umsteigen        |пересаживаться               |steigt um          |stieg um           |ist umgestiegen
umziehen         |переезжать                   |zieht um           |zog um             |hat/ist umgezogen
unterhalten      |поддерживать                 |unterhalt          |unterhielt         |hat unterhalten
unternehmen      |предпринять                  |unternimmt         |unternahm          |hat unternommen
unterschreiben   |подписывать                  |unterschreibt      |unterschrieb       |hat unterschrieben
verbringen       |проводить                    |verbringt          |verbrachte         |hat verbracht
vergessen        |забывать                     |vergisst           |vergaß             |hat vergessen
vergleichen      |сравнивать                   |vergleicht         |verglich           |hat verglichen
verlieren        |потерять                     |verliert           |verlor             |hat verloren
verschieben      |перемещать                   |verschiebt         |verschob           |hat verschoben
verschwinden     |исчезать                     |verschwindet       |verschwand         |ist verschwunden
versprechen      |обещать                      |verspricht         |versprach          |hat versprochen
verstehen        |понимать                     |versteht           |verstand           |hat verstanden
vorschlagen      |предложить                   |schlägt vor        |schlug vor         |hat vorgeschlagen
vorstellen       |представлять                 |stellt vor         |stellte vor        |hat vorgestellt
wachsen          |расти                        |wächst             |wuchs              |ist gewachsen
waschen          |мыть                         |wäscht             |wusch              |hat gewaschen
weggehen         |уходить                      |geht weg           |ging weg           |ist weggegangen
wegwerfen        |выбрасывать                  |wirft weg          |warf weg           |hat weggeworfen
wehtun           |причинить боль               |tut weh            |tat weh            |hat wehgetan
werden           |становиться                  |wird               |wurde              |ist geworden
werfen           |бросать                      |wirft              |warf               |hat geworfen
wissen           |знать                        |weiß               |wusste             |hat gewusst
ziehen           |тянуть                       |zieht              |zog                |hat gezogen
zurechtkommen    |справляться                  |kommt zurecht      |kam zurecht        |ist zurechtgekommen
zuruckkommen     |возвращаться                 |kommt zurück       |kam zurück         |ist zurückgekommen
einpacken        |заворачивать                 |packt ein          |packte ein         |hat eingepackt
ausziehen        |раздеться                    |zieht aus          |zog aus            |ist ausgezogen
überlegen        |обдумывать                   |überlegt           |überlegte          |hat überlegt
retten           |спасать                      |rettet             |rettete            |hat gerettet
berichten        |рассказывать                 |berichtet          |berichtete         |hat berichtet
nennen           |назвать                      |nennt              |nannte             |hat genannt
einbrechen       |вламываться                  |bricht ein         |brach ein          |ist eingebrochen
weglaufen        |убегать                      |läuft weg          |lief weg           |ist weggelaufen
anschauen        |посмотреть                   |schaut an          |schaute an         |hat angeschaut
regieren         |править                      |regiert            |regierte           |hat regiert
vorbereiten      |подготовить                  |bereitet vor       |bereitete vor      |hat vorbereitet
aussuchen        |выбирать                     |sucht aus          |suchte aus         |hat ausgesucht
beobachten       |наблюдать                    |beobachtet         |beobachtete        |hat beobachtet
abschreiben      |списывать                    |schreibt ab        |schrieb ab         |hat abgeschrieben
erlassen         |опубликовывать               |erlässt            |erließ             |hat erlassen
umarmen          |обнимать                     |umarmt             |umarmte            |hat umarmt
erwischen        |схватывать                   |erwischt           |erwischte          |hat erwischt
schubsen         |толкать                      |schubst            |schubste           |hat geschubst
folgen           |следовать                    |folgt              |folgte             |ist gefolgt
verraten         |предавать                    |verrät             |verriet            |hat verraten
plaudern         |болтать                      |plaudert           |plauderte          |hat geplaudert
verteilen        |распределить                 |verteilt           |verteilte          |hat verteilt
schaffen         |создавать                    |schafft            |schuf              |hat geschaffen
verändern        |менять                       |verändert          |veränderte         |hat verändert
fördern          |способствовать               |fördert            |förderte           |hat gefördert
streben          |стремиться                   |strebt             |strebte            |hat gestrebt
jubeln           |ликовать                     |jubelt             |jubelte            |hat gejubelt
begrüßen         |встречать                    |begrüßt            |begrüßte           |hat begrüßt
überprüfen       |проверять                    |überprüft          |überprüfte         |hat überprüft
ankreuzen        |отметить крестиком           |kreuzt an          |kreuzte an         |hat angekreuzt
führen           |лидировать                   |führt              |führte             |hat geführt
schießen         |стрелять                     |schießt            |schoss             |hat geschossen
streichen        |бесцельно ходить             |streicht           |strich             |ist gestrichen
bestrafen        |наказывать                   |bestraft           |bestrafte          |hat bestraft
leisten          |оказать                      |leistet            |leistete           |hat geleistet
zugehören        |принадлежать                 |gehört zu          |gehörte zu         |hat zugehört
erkennen         |распознать                   |erkennt            |erkannte           |hat erkannt
fliehen          |убегать                      |flieht             |floh               |ist geflohen
kaputtgehen      |сломаться                    |geht kaputt        |ging kaputt        |ist kaputtgegangen
gebrauchen       |использовать                 |gebraucht          |gebrauchte         |hat gebraucht
einziehen        |инкассировать                |zieht ein          |zog ein            |ist eingezogen
wiederkommen     |возвратиться                 |kommt wieder       |kam wieder         |ist wiedergekommen
reinigen         |чистить                      |reinigt            |reinigte           |hat gereinigt
zerknittern      |смять                        |zerknittert        |zerknitterte       |hat zerknittert
massieren        |массировать                  |massiert           |massierte          |hat massiert
verspinnen       |прясть                       |verspinnt          |verspann           |hat versponnen
trimmen          |подрезать                    |trimmt             |trimmte            |hat getrimmt
lassen           |оставлять                    |lässt              |ließ               |hat gelassen
erfahren         |узнавать                     |erfährt            |erfuhr             |hat erfahren
überqueren       |пересечь                     |überquert          |überquerte         |hat überquert
hineinlassen     |впустить                     |lässt hinein       |ließ hinein        |hat hineingelassen
gießen           |налить                       |gießt              |goss               |hat gegossen
zubereiten       |приготовить                  |bereitet zu        |bereitete zu       |hat zubereitet
löhnen           |выплачивать заработную плату |löhnt              |löhnte             |hat gelöhnt
quellen          |расширяться                  |quellt             |quellte            |hat gequellt
sinken           |тонуть/опускаться            |sinkt              |sank               |ist gesunken
versäumen        |пропустить                   |versäumt           |versäumte          |hat versäumt
schleichen       |красться                     |schleicht          |schlich            |hat geschlichen
melden           |оповещать                    |meldet             |meldete            |hat gemeldet
verschwinden     |исчезать                     |verschwindet       |verschwand         |ist verschwunden
verloben         |обручить                     |verlobt            |verlobte           |hat verlobt
anschließen      |присоединять                 |schließt an        |schloss an         |hat angeschlossen
wiederherstellen |восстановить                 |stellt wieder her  |stellte wieder her |hat wiederhergestellt
fortsetzen       |продолжать                   |setzt fort         |setzte fort        |hat fortgesetzt
stellen          |ставить                      |stellt             |stellte            |hat gestellt
anfahren         |трогаться с места            |fährt an           |fuhr an            |ist angefahren
schwanen         |предчувствовать              |schwant            |schwante           |hat geschwant
überstehen       |выдерживать                  |übersteht          |überstand          |hat überstanden
schuppen         |сбрасывать                   |schuppt            |schuppte           |hat geschuppt
jagen            |охотиться                    |jagt               |jagte              |hat gejagt
verschwenden     |тратить впустую              |verschwendet       |verschwendete      |hat verschwendet
vorbeikommen     |зайти                        |kommt/kömmt vorbei |kam vorbei         |ist vorbeigekommen
überfallen       |напасть                      |überfällt          |überfiel           |hat überfallen
bestehen         |состоять                     |besteht            |bestand            |hat bestanden
beleidigen       |оскорблять                   |beleidigt          |beleidigte         |hat beleidigt
wohlfühlen       |хорошо себя чувствовать      |fühlt wohl         |fühlte wohl        |hat wohlgefühlt
kratzen          |царапать                     |kratzt             |kratzte            |hat gekratzt
versetzen        |перемещать                   |versetzt           |versetzte          |hat versetzt
abschließen      |оканчивать                   |schließt ab        |schloss ab         |hat abgeschlossen
vermeiden        |избегать                     |vermeidet          |vermied            |hat vermieden
fugen            |сплачивать                   |fugt               |fugte              |hat gefugt
klicken          |щелкнуть                     |klickt             |klickte            |hat geklickt
speichern        |хранить                      |speichert          |speicherte         |hat gespeichert
beamen           |излучать                     |beamt              |beamte             |hat gebeamt
betreffen        |касаться                     |betrifft           |betraf             |hat betroffen
zubeißen         |укусить                      |beißt zu           |biss zu            |hat zugebissen
prüfen           |проверить                    |prüft              |prüfte             |hat geprüft
wenden           |обращаться                   |wendet             |wandte             |hat gewandt
verfügen         |располагать                  |verfügt            |verfügte           |hat verfügt
entwickeln       |развивать                    |entwickelt         |entwickelte        |hat entwickelt
messen           |измерить                     |misst              |maß                |hat gemessen
bestimmen        |определять                   |bestimmt           |bestimmte          |hat bestimmt
verschütten      |разлить                      |verschüttet        |verschüttete       |hat verschüttet
anhängen         |подвесить                    |hängt an           |hängte an          |hat angehängt
anhangen         |прикреплять                  |hangt an           |hangte an          |hat angehangt
bedanken         |благодарить                  |bedankt            |bedankte           |hat bedankt
vereinbaren      |договориться                 |vereinbart         |vereinbarte        |hat vereinbart
erfüllen         |удовлетворять                |erfüllt            |erfüllte           |hat erfüllt
kündigen         |уволиться                    |kündigt            |kündigte           |hat gekündigt
beraten          |советовать                   |berät              |beriet             |hat beraten
bearbeiten       |обработать                   |bearbeitet         |bearbeitete        |hat bearbeitet
fasen            |снимать фаску                |fast               |faste              |hat gefast
benehmen         |вести себя                   |benimmt            |benahm             |hat benommen
fassen           |схватить                     |fasst              |fasste             |hat gefasst
erhöhen          |увеличивать                  |erhöht             |erhöhte            |hat erhöht
